exon	raw_counts	median_length_normalized	RPKM
chr1:11874-12227:+	6	0.4929178	0.145782640876232
chr1:12595-12721:+	0	0.0000000	0
chr1:12613-12721:+	0	0.0000000	0
chr1:12646-12697:+	0	0.0000000	0
chr1:13221-14409:+	17	0.2407407	0.122977282421245
chr1:13403-14409:+	17	0.2842942	0.145203563851897
chr1:14363-16765:-	1558	1.0000000	5.57662584878277
chr1:16854-17055:-	539	0.9850746	22.9506621906191
chr1:17233-18061:-	1231	1.0000000	12.7720716817851
chr1:18268-18379:-	140	1.0000000	10.7514697646221
chr1:18497-18554:-	17	1.0000000	2.52103428963553
chr1:18913-19759:-	319	1.0000000	3.2394038771329
chr1:24738-24901:-	110	0.9631902	5.76908133711431
chr1:29321-29370:-	0	0.0000000	0
chr1:29824-29961:-	6	1.0000000	0.373964165725987
chr1:34612-35174:-	2	0.2366548	0.0305547986205957
chr1:35277-35481:-	0	0.0000000	0
chr1:35721-36081:-	0	0.0000000	0
